,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
69,Basler_acA2500-14um__23891378__20221129_144902408_0082.tiff,1544,760,55,24,22,44,42,53,52,51,55,52,58,55,59,56,59,56,58,56,57,55,55,55,55,9,7,16,14,30,29,37,36
70,Basler_acA2500-14um__23891378__20221129_144902408_0083.tiff,1544,760,54,23,22,44,42,52,52,50,54,51,57,54,58,55,58,55,58,55,56,55,55,54,54,9,8,16,14,30,29,37,35
71,Basler_acA2500-14um__23891378__20221129_144902408_0084.tiff,1544,761,53,23,22,43,42,51,51,50,54,51,57,53,57,54,58,54,57,54,55,54,54,54,54,9,8,15,14,30,29,37,35
72,Basler_acA2500-14um__23891378__20221129_144902408_0085.tiff,1544,760,53,23,22,43,41,50,50,49,53,50,56,53,56,54,57,54,56,54,54,53,54,53,53,9,7,16,14,30,28,36,35
73,Basler_acA2500-14um__23891378__20221129_144902408_0086.tiff,1544,760,52,23,22,43,41,50,50,49,52,50,55,52,56,53,56,53,55,53,54,53,53,53,52,9,8,15,14,29,28,36,35
74,Basler_acA2500-14um__23891378__20221129_144902408_0087.tiff,1544,760,52,23,21,43,41,49,49,48,51,49,55,51,55,52,55,52,54,52,53,52,53,52,52,9,7,15,14,29,28,36,34
75,Basler_acA2500-14um__23891378__20221129_144902408_0088.tiff,1544,760,51,23,21,43,40,49,48,48,51,49,54,50,54,52,54,51,54,51,52,51,52,51,51,9,7,15,14,29,28,36,34
76,Basler_acA2500-14um__23891378__20221129_144902408_0089.tiff,1544,760,50,22,21,42,40,48,48,48,50,48,53,50,54,51,53,51,53,51,52,51,51,51,50,9,7,15,13,29,28,36,34
77,Basler_acA2500-14um__23891378__20221129_144902408_0090.tiff,1544,760,50,22,21,42,39,48,47,47,49,48,52,49,53,51,53,50,52,50,51,50,51,50,50,9,8,15,13,29,27,36,33
78,Basler_acA2500-14um__23891378__20221129_144902408_0091.tiff,1544,760,49,22,21,42,39,47,46,47,48,47,51,48,52,50,52,49,52,49,50,49,50,49,49,9,7,15,13,29,27,35,33
79,Basler_acA2500-14um__23891378__20221129_144902408_0092.tiff,1544,760,48,22,21,42,38,46,45,46,48,47,51,48,52,49,52,49,51,48,50,49,49,49,48,9,7,15,13,28,26,35,33
80,Basler_acA2500-14um__23891378__20221129_144902408_0093.tiff,1544,760,47,22,20,42,38,46,45,46,47,46,51,47,51,48,51,48,50,48,49,48,49,48,48,9,7,15,13,28,26,35,32
81,Basler_acA2500-14um__23891378__20221129_144902408_0094.tiff,1544,760,47,22,20,41,38,45,44,45,47,45,50,47,51,48,51,47,50,47,49,48,48,48,47,9,7,15,13,28,26,35,32
82,Basler_acA2500-14um__23891378__20221129_144902408_0095.tiff,1544,760,46,22,20,41,37,45,44,45,46,45,50,46,50,47,51,46,50,47,48,47,48,47,47,9,7,14,13,28,26,35,32
83,Basler_acA2500-14um__23891378__20221129_144902408_0096.tiff,1544,760,46,21,20,41,37,44,43,44,46,44,49,46,50,47,50,46,49,46,47,46,47,47,46,9,7,15,13,28,25,35,31
84,Basler_acA2500-14um__23891378__20221129_144902408_0097.tiff,1544,760,45,21,19,41,37,43,43,44,45,44,49,45,50,46,50,45,49,46,47,46,47,46,45,9,7,15,12,28,25,35,31
85,Basler_acA2500-14um__23891378__20221129_144902408_0098.tiff,1544,760,45,21,19,41,36,43,42,44,45,43,49,45,49,45,50,45,48,45,46,45,46,45,45,9,7,15,12,28,25,35,30
86,Basler_acA2500-14um__23891378__20221129_144902408_0099.tiff,1544,760,44,22,19,40,36,42,42,43,44,43,48,44,49,45,49,44,48,45,46,45,45,45,44,9,7,14,12,28,24,35,30
87,Basler_acA2500-14um__23891378__20221129_144902408_0100.tiff,1544,760,44,21,19,40,36,42,42,43,44,43,48,44,49,45,49,44,47,45,46,45,45,44,44,9,7,14,12,28,24,34,30
88,Basler_acA2500-14um__23891378__20221129_144902408_0101.tiff,1544,760,44,21,18,40,35,42,41,43,44,42,47,43,49,44,49,44,47,44,46,44,45,44,44,9,7,14,12,28,24,34,30
89,Basler_acA2500-14um__23891378__20221129_144902408_0102.tiff,1544,761,43,21,18,40,35,41,41,42,43,42,47,43,48,43,49,44,47,43,46,44,44,43,43,9,7,14,12,27,24,34,29
90,Basler_acA2500-14um__23891378__20221129_144902408_0103.tiff,1544,760,42,21,18,39,35,41,40,42,43,42,46,43,48,43,48,43,46,43,45,43,44,43,43,9,7,14,12,28,23,34,29
91,Basler_acA2500-14um__23891378__20221129_144902408_0104.tiff,1544,761,42,21,18,38,35,40,40,42,43,41,46,42,47,42,48,43,46,42,45,42,43,42,42,9,7,14,12,27,23,34,29
92,Basler_acA2500-14um__23891378__20221129_144902408_0105.tiff,1544,760,42,21,18,38,35,40,40,42,42,41,45,42,47,41,47,43,45,42,44,42,43,42,42,9,7,14,12,27,23,33,29
93,Basler_acA2500-14um__23891378__20221129_144902408_0106.tiff,1544,760,41,21,18,38,34,40,39,41,42,41,46,42,47,40,47,42,45,41,44,41,42,41,42,8,7,14,12,27,23,33,29
94,Basler_acA2500-14um__23891378__20221129_144902408_0107.tiff,1544,760,41,21,17,38,34,39,39,41,42,41,45,41,47,39,46,42,44,41,44,41,42,41,41,9,7,14,12,27,23,33,28
